Type  	Port	Time               	Call   	Group   	ID      	Clr	Enc	PTT	dBm
0B	1	21.04.2013 01:15:32	E1     	16020417	8378239 	15 	off	1  	-70
08	1	21.04.2013 01:15:32	69     	786038  	15525089	3  	off	-  	-70
08	1	21.04.2013 01:15:33	97     	7763150 	16144141	7  	off	-  	-70
05	1	21.04.2013 01:15:36	Group  	65537   	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:36	Group  	5       	15269889	1  	off	-  	Max
0B	1	21.04.2013 01:15:37	33     	15741032	13452253	5  	off	1  	Max
05	1	21.04.2013 01:15:37	02     	6846773 	5314274 	12 	off	-  	-69
0B	1	21.04.2013 01:15:38	3A     	16259398	4886926 	14 	off	1  	-69
07	1	21.04.2013 01:15:38	9F     	297269  	15423933	10 	off	-  	-65
05	1	21.04.2013 01:15:41	Group  	524289  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:41	Group  	458753  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:42	Group  	393217  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:42	Group  	327681  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:42	Group  	262145  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:42	Group  	196609  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:42	Group  	131073  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:42	Group  	65537   	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:42	Group  	5       	15269889	1  	off	-  	Max
09	1	21.04.2013 01:15:42	57     	4036971 	4600453 	9  	off	-  	Max
05	1	21.04.2013 01:15:42	75     	5249567 	12420332	0  	off	-  	Max
05	1	21.04.2013 01:15:42	DB     	14276048	13603849	5  	off	-  	Max
05	1	21.04.2013 01:15:46	Group  	524289  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:46	Group  	458753  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:46	Group  	393217  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:46	Group  	327681  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:46	Group  	262145  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:46	Group  	196609  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:46	Group  	131073  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:46	Group  	65537   	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:46	Group  	5       	15269889	1  	off	-  	Max
07	1	21.04.2013 01:15:48	4A     	9934694 	14697609	12 	off	-  	-65
0B	1	21.04.2013 01:15:48	F8     	3393626 	14354561	5  	off	1  	-65
0B	1	21.04.2013 01:15:48	31     	10867833	8139021 	13 	off	1  	-65
0B	1	21.04.2013 01:15:48	77     	10851593	16539361	13 	off	1  	-65
0B	1	21.04.2013 01:15:48	F7     	16288085	7328794 	3  	off	1  	-65
08	1	21.04.2013 01:15:48	CF     	9450071 	5227503 	15 	off	-  	-65
05	1	21.04.2013 01:15:50	Group  	524289  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:50	Group  	458753  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:50	Group  	393217  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:50	Group  	327681  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:50	Group  	262145  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:50	Group  	196609  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:50	Group  	131073  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:50	Group  	65537   	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:50	Group  	5       	15269889	1  	off	-  	Max
0B	1	21.04.2013 01:15:52	F7     	5503529 	7607555 	8  	off	1  	Max
05	1	21.04.2013 01:15:52	D9     	6442562 	15001574	7  	off	-  	-76
05	1	21.04.2013 01:15:52	BC     	8384850 	3932150 	5  	off	-  	-76
07	1	21.04.2013 01:15:52	E7     	9896560 	13387699	5  	off	-  	-76
05	1	21.04.2013 01:15:52	B6     	8029694 	2144279 	7  	off	-  	-76
05	1	21.04.2013 01:15:55	Group  	524289  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:56	Group  	458753  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:56	Group  	393217  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:56	Group  	327681  	5177349 	1  	off	-  	Max
05	1	21.04.2013 01:15:56	Group  	262145  	5177349 	1  	off	-  	Max
